timestamp,total_cement_produced,production_target,oee,energy_consumption,clinker_production_rate,kiln_running_hours,kiln_temperature,mill_throughput,bagging_output,downtime_kiln,downtime_crusher,downtime_mill,scheduled_maintenance,unscheduled_maintenance,mttr,mtbf,blaine_fineness,lime_saturation_factor,free_lime_content,compressive_strength_2d,compressive_strength_7d,compressive_strength_28d,dust_emissions,co2_emissions,water_usage,noise_levels,limestone_stock,clinker_stock,cement_stock,hourly_production
2025-05-02 08:37:42.890587,1.0,120.0,89.42,98.8,61.47,4.3,1229.03,62.43,1.0,0.63,0.83,0.05,0.62,0.69,0.5,77.35,3347.37,1.07,1.32,36.38,40.69,41.67,56.9,742.31,215.67,87.12,998.59,650.0,1168.37,1.0
2025-05-02 08:37:42.895499,3.0,120.0,85.74,94.17,66.05,6.21,1211.8,50.03,2.0,1.04,0.6,0.39,0.43,0.05,2.81,82.49,3316.83,0.97,1.99,43.02,44.91,42.94,48.96,726.81,197.85,87.52,968.07,889.95,1149.94,2.0
2025-05-02 08:37:43.088407,6.0,120.0,86.79,105.53,65.46,1.0,1190.39,73.76,3.0,1.02,0.5,0.25,0.69,0.33,1.9,80.39,3355.72,1.15,2.36,40.59,41.4,46.7,38.04,710.1,191.98,88.81,897.37,907.55,1250.31,3.0
2025-05-02 08:37:43.098008,8.0,120.0,85.17,99.02,72.25,5.84,1221.34,45.0,2.0,0.05,0.05,0.93,0.21,0.32,4.17,72.17,3381.63,1.05,2.2,40.85,44.96,44.68,46.3,784.0,204.13,87.2,1033.55,720.85,1369.84,2.0
2025-05-02 08:37:47.905240,9.0,120.0,96.74,88.93,85.0,3.0,1139.02,46.53,1.0,1.1,0.64,0.15,0.19,0.25,1.38,71.15,3324.6,1.0,1.64,39.77,40.88,49.2,44.27,788.03,195.39,89.83,1035.29,866.67,1210.66,1.0
2025-05-02 08:37:48.103758,12.0,120.0,91.13,106.83,53.98,4.44,1137.56,54.59,3.0,0.05,0.31,0.42,0.23,0.69,2.1,58.0,3473.12,0.85,3.46,37.13,38.42,42.58,44.41,760.58,192.27,87.26,958.28,865.88,1213.55,3.0
2025-05-02 08:37:52.937064,15.0,120.0,95.14,89.52,75.21,1.0,1235.29,45.0,3.0,0.63,0.05,0.19,0.14,0.39,2.57,82.86,3258.66,1.15,1.32,41.0,39.68,46.13,50.79,737.16,194.33,88.6,814.89,930.7,1173.51,3.0
2025-05-02 08:37:53.111730,16.0,120.0,86.36,124.76,77.36,5.54,1275.91,59.97,1.0,0.63,0.11,0.69,0.51,0.56,2.06,83.45,3265.39,1.04,1.32,35.38,46.16,39.07,58.55,731.09,174.57,88.89,1135.76,782.03,1113.61,1.0
2025-05-02 08:37:57.941411,17.0,120.0,89.08,115.65,57.92,9.87,1154.76,45.0,1.0,0.72,0.26,0.45,0.37,0.27,2.42,100.39,3345.39,0.87,2.23,36.71,39.79,43.55,49.21,756.61,191.81,88.52,907.21,866.62,1030.46,1.0
2025-05-02 08:37:58.116194,18.0,120.0,100.0,94.4,79.2,7.24,1212.59,53.96,1.0,0.1,0.39,0.74,0.21,0.28,3.0,35.76,3234.49,1.0,2.12,40.03,36.18,46.42,40.55,787.36,204.06,87.94,815.44,865.46,1038.37,1.0
2025-05-02 08:38:02.949687,19.0,120.0,100.0,105.42,69.09,2.48,1153.57,51.59,1.0,0.53,0.28,0.07,0.45,0.55,1.61,91.7,3222.37,0.96,1.91,36.07,40.76,46.86,47.75,820.0,192.09,83.97,937.15,929.01,1229.79,1.0
2025-05-02 08:38:03.124847,21.0,120.0,90.77,99.98,72.38,1.0,1214.04,45.0,2.0,1.26,0.05,0.51,0.13,0.25,1.93,77.45,3305.57,1.07,1.57,39.55,46.07,46.5,48.18,719.28,211.3,90.51,897.18,705.63,1091.02,2.0
2025-05-02 08:38:07.957372,23.0,120.0,95.3,112.81,63.61,1.0,1237.59,67.21,2.0,0.29,0.52,0.23,0.37,0.13,1.32,86.9,3545.55,1.04,2.04,39.06,41.97,38.16,39.46,769.92,208.45,89.04,932.23,696.17,1018.24,2.0
2025-05-02 08:38:08.132798,25.0,120.0,90.0,114.34,56.99,3.98,1227.11,67.74,2.0,0.23,0.27,0.58,0.2,0.05,2.98,130.08,3224.13,1.09,1.32,35.7,40.21,51.37,38.28,746.97,212.1,86.06,942.65,727.12,1155.66,2.0
